Division,Line,Borough,Stop Name,Complex ID,Constituent Station Name,Station ID,GTFS Stop ID,Daytime Routes,Entrance Type,Entry Allowed,Exit Allowed,Latitude,Longitude,entrance_georeference
BMT,Jamaica,B,Myrtle Av,97,Myrtle Av,97,M11,M J Z,Stair,YES,YES,40.6969112,-73.9354484,POINT (-73.9354484 40.6969112)
BMT,Jamaica,B,Flushing Av,98,Flushing Av,98,M12,M J,Elevator,YES,YES,40.7006273,-73.9420192,POINT (-73.9420192 40.7006273)
BMT,Jamaica,B,Flushing Av,98,Flushing Av,98,M12,M J,Stair,YES,YES,40.7006437,-73.9421931,POINT (-73.9421931 40.7006437)
BMT,Jamaica,B,Flushing Av,98,Flushing Av,98,M12,M J,Stair,YES,YES,40.7008679,-73.9416986,POINT (-73.9416986 40.7008679)
BMT,Jamaica,B,Flushing Av,98,Flushing Av,98,M12,M J,Elevator,YES,YES,40.70072,-73.941672,POINT (-73.941672 40.70072)
BMT,Jamaica,B,Flushing Av,98,Flushing Av,98,M12,M J,Stair,YES,YES,40.6997313,-73.9403023,POINT (-73.9403023 40.6997313)
BMT,Jamaica,B,Flushing Av,98,Flushing Av,98,M12,M J,Stair,YES,YES,40.6998454,-73.9401928,POINT (-73.9401928 40.6998454)
BMT,Jamaica,B,Lorimer St,99,Lorimer St,99,M13,M J,Stair,YES,YES,40.704293,-73.94833,POINT (-73.94833 40.704293)
BMT,Jamaica,B,Lorimer St,99,Lorimer St,99,M13,M J,Stair,YES,YES,40.704406,-73.948206,POINT (-73.948206 40.704406)
BMT,Jamaica,B,Lorimer St,99,Lorimer St,99,M13,M J,Stair,YES,YES,40.703321,-73.946596,POINT (-73.946596 40.703321)
BMT,Jamaica,B,Lorimer St,99,Lorimer St,99,M13,M J,Stair,YES,YES,40.703468,-73.946557,POINT (-73.946557 40.703468)
BMT,Jamaica,B,Hewes St,100,Hewes St,100,M14,M J,Stair,YES,YES,40.707149,-73.954427,POINT (-73.954427 40.707149)
BMT,Jamaica,B,Hewes St,100,Hewes St,100,M14,M J,Stair,YES,YES,40.7072658,-73.9543323,POINT (-73.9543323 40.7072658)
BMT,Jamaica,B,Hewes St,100,Hewes St,100,M14,M J,Stair,YES,YES,40.7065605,-73.9522702,POINT (-73.9522702 40.7065605)
BMT,Jamaica,B,Hewes St,100,Hewes St,100,M14,M J,Stair,YES,YES,40.7065268,-73.9526173,POINT (-73.9526173 40.7065268)
BMT,Jamaica,B,Marcy Av,101,Marcy Av,101,M16,M J Z,Stair,YES,YES,40.708681,-73.958927,POINT (-73.958927 40.708681)
